name,city,loc,info,address,nearby station,price
파리 해바라기 민박,파리,48.863172 : 2.422055,"총 수용인원 19명 / 아침,저녁 제공 / 인터넷 / 무선인터넷 / [2존] Gallieni 지하철역에서 도보 3분 (드골공항에서 버스351번 이용 45분소요) ",BAGNOLET,,"도미토리 €30~, 4인실 €140~"
파리 에펠스타,파리,48.851851 : 2.286012,총 수용인원 10명 / 아침 제공 / 인터넷 / 무선인터넷 / [1존] <에펠전망대점/마루점> 6호선과 RER C선 의 Tour Eiffel Bir-Hakeim 역에서 도보 3분,"39, Quai de Grenelle 75015 PARIS",,도미토리 €50~ 콘도형€190
파리 메르시 민박,파리,48.889782 : 2.376594,"총 수용인원 9명 / 아침,저녁 제공 / 인터넷 / 무선인터넷 / [1존] Crimee 지하철 역에서 도보 1~2분",17 rue mathis,,도미토리 €30~
파리 올리브 하우스,파리,48.889520 : 2.371522,"총 수용인원 12명 / 아침,저녁 제공 / 인터넷 / 무선인터넷 / [1존]지하철 7호선 Riquet 역에서 도보 3분",Rue Curial,,"도미토리 €30~, 4인실 €350~"
파리 아뜰리에 펜션,파리,48.896676 : 2.240296,"총 수용인원 10명 / 아침,저녁 제공 / 인터넷 / 무선인터넷 / [2존] La defense(신개선문) 전철역 도보 5분(Fauboug de l'arche 트램역 도보 30초)",faubour de l'arche,,"도미토리 €30~, 5인실 €200~"
파리 제브라 민박,파리,48.855992 : 2.423430,"총 수용인원 28명 / 아침,저녁 제공 / 인터넷 / 무선인터넷 / [2존] M9호선 Robespierre역에서 도보 3~4분 /",M9 Robespierre,,"도미토리 €25~, 4인실 €130~"
로마 호텔식 찍고민박 (구.호텔식 고려민박),로마,41.897271 : 12.504542,"총 수용인원 20명 / 아침,저녁 제공 / 인터넷 / 무선인터넷 / 떼르미니역 24번 플랫폼에서 도보 5분",VIA FILIPPO TURATI N.129,,"도미토리 €40~, 6인실 €230~"
로마 밥앤잠,로마,41.893992 : 12.508871,총 수용인원 20명 / 아침 제공 / 인터넷 / 무선인터넷 / 떼르미니역 26번 플랫폼에서 도보 7분,"00185 ROMA VIA BIXIO 41, SC-B, int 3",,"도미토리 €30~, 5인실 €180~"
로마 빈치 하우스,로마,41.895051 : 12.501599,총 수용인원 9명 / 아침 제공 / 인터넷 / 무선인터넷 / 떼르미니역 24번 플랫폼에서 도보 8분(평균),"Via Dello Statuto 32 , B4",,"도미토리 €30~, 3인실 €110~"
로마 아로마하우스,로마,41.897717 : 12.504105,총 수용인원 15~19명 / 아침 제공 / 인터넷 / 무선인터넷 / 떼르미니역 24번 플랫폼에서 도보 3분/V.Emanuele 지하철역 도보 2분/S.maggiore성당 도보 3분,via filippo turati 107,,"도미토리 €30~, 2인실 €100~"
로마 지원이네,로마,41.897795 : 12.503868,총 수용인원 15명 / 아침 제공 / 인터넷 / 무선인터넷 / 떼르미니역 24번 플랫폼에서 도보 3분,Via filippo turati 76,,"도미토리 €30~, 2인실 €100~"
로마 엔젤아우렐리아(Angelaurelia),로마,41.898260 : 12.430472,"총 수용인원 20명 / 아침,저녁 제공 / 인터넷 / 무선인터넷 / 지하철 BALDO DEGLI UBALDI 역에서 도보 3분 / 떼르미니역에서 지하철 9정거장"," Via Aurelia 429, 00165 Roma, RM",,"도미토리 €25~, 2인실 €75~"
로마호텔 스텔라,로마,41.893409 : 12.508332,"총 수용인원 15명 / 아침,저녁 제공 / 인터넷 / 무선인터넷 / 떼르미니역 26번 플랫폼에서 도보 5~7분/ 지하철 비또리오 엠마누엘레역에서 도보 2분","Via Bixio 56, Roma, Italy",,"1인실 €60~, 5인실 €170~"
로마 도토리민박,로마,41.893009 : 12.508332,총 수용인원 11~17명 / 아침 제공 / 인터넷 / 무선인터넷 / 떼르미니역 26번 플랫폼에서 도보 3분 / 지하철 비또리오 엠마뉴엘역 바로 앞,Piazza Vitorio Emmauele 47 int7,,"도미토리 €30~, 3인실 €130~"
로마 펠리체,로마,41.891123 : 12.524590,총 수용인원 23명 / 아침 제공 / 인터넷 / 무선인터넷 / 떼르미니역에서 트램 13분 (2인 이상일 경우 떼르니미역에서 무료 픽업/샌딩 서비스),"Via prenestina, 82 Roma",,"도미토리 €25~, 4인실 €110~"
로마 다래민박,로마,41.893809 : 12.508332,"총 수용인원 20명 / 아침,저녁 제공 / 인터넷 / 무선인터넷 / 떼르미니역 26번 플랫폼 아래층 출구에서 진짜 도보 1분 ^^;;;",,,
